cnnaff,Smiles,Training,regression
-7.80853,[H]C([H])=C([H])c1c([H])c([H])nc([C@@]([H])(c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])[H])[C@]([H])(c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(Cl)c(Cl)c2[H])C([H])([H])n2nc([H])nc2[H])c1[H],False,5.648218099999998
-7.68867,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c(C([H])([H])n2nc([H])nc2[H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H],False,5.0505196
-7.67832,[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])N([H])C(=O)C([H])=C([H])[H])[C@@]([H])(c2c(-c3nc(C([H])([H])[H])sc3[H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C1([H])[H],False,6.195371799999998
-7.64021,[H]c1nc([H])c(C([H])([H])n2c(-c3c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c3-c3c(N([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])c4c([H])c([H])c(Cl)c([H])c4[H])c([H])c([H])n([H])c3=O)nc([H])c2[H])c([H])c1F,False,6.057585699999999
-7.63801,[H]Sc1c(N2C(=O)C([H])=C(S(=O)(=O)N(C([H])([H])[H])C([H])([H])c3c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])C2=O)c([H])n(-c2c(F)nc([H])c(OC([H])([H])[H])c2[H])c(=O)c1C([H])([H])C([H])([H])C([H])([H])[H],False,5.7775566000000005
-7.61245,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],False,5.074660100000002
-7.59291,[H]C([H])=C([H])C(=O)N([H])[C@]([H])(c1c([H])c([H])c2c([H])c([H])c([H])c([H])c2c1[H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H],False,5.3866629999999995
-7.57156,[H]SC([H])([H])[C@@]([H])(c1c([C@@]2([H])C([H])([H])[C@@]2([H])N([H])[H])c([H])c(-c2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c([H])c3[H])c2[H])c2c([H])c([H])c([H])nc12)C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])c1nc(N([H])[H])nc([H])c1[H],False,3.671954100000001
-7.55649,[H]C([H])=C([H])C([H])([H])[C@@]([H])(C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(N([H])c2nc([H])c([H])c([H])c2[H])c1=O)C([H])([H])c1c([H])sc2c([H])c([H])c([H])c([H])c12)[C@]([H])(c1nc([H])c([H])c([H])c1C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],False,5.1191843000000015
-7.55425,[H]c1oc([H])c(C([H])([H])C([H])([H])[C@@]([H])(c2c(-c3c([H])c([H])c([H])c([H])c3Cl)c(N3C(=O)C([H])([H])C([H])([H])C3([H])[H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c1[H],False,4.767881800000002
-7.55007,[H]c1nc([H])c([H])c(N([H])n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])c3c([H])c([H])c([H])c(C(=O)N([H])[H])c3[H])C([H])([H])[C@]([H])(c3c([H])oc([H])c3[H])c3c([H])c([H])c([H])c(Cl)c3Cl)c2=O)c1[H],False,6.0227210999999965
-7.53504,[H]c1nc([H])c([C@]([H])(c2nc([H])c([H])c([H])c2[H])c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])OC([H])([H])C([H])([H])c2c([H])c([H])c(C(F)(F)F)c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])o1,False,5.1085180999999995
-7.53339,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c(C(=O)c2c([H])c([H])c(Cl)c([H])c2[H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],False,5.230833000000002
-7.52921,[H]O[C@@]([H])(C([H])([H])[H])C([H])([H])N1C([H])([H])C([H])([H])[C@@]([H])(c2c(S[H])c(N3C(=O)C([H])=C([H])C3=O)c([H])n(-c3c(F)nc([H])c(OC([H])([H])[H])c3[H])c2=O)[C@]([H])(C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C1([H])[H],False,5.8936651
-7.52562,[H]C(=C1SC(=S)N([H])C1=O)[C@@]([H])(c1c([H])c(Cl)c([H])c(Cl)c1[H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)[C@]([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1Cl)C([H])([H])n1nc([H])c([H])c1[H],False,5.943583099999999
-7.51456,[H]C([H])=C([H])C(=O)N([H])C([H])([H])[C@@]([H])(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],False,5.259284299999997
-7.49146,[H]OC1([H])C([H])([H])C([H])([H])N(c2c([H])c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c([H])c([H])n(N4C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C4([H])[H])c3=O)C([H])([H])C([H])([H])c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c3nc([H])c([H])c([H])c3c2[H])C([H])([H])C1([H])[H],False,5.476296500000003
-7.49067,[H]C#CC([H])([H])OC1=C([H])C(=O)N(n2c([H])c(-c3c([H])c([H])c([H])c(C(=O)N([H])[H])c3[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([C@@]4([H])C([H])([H])[C@@]4([H])N([H])[H])c([H])c([H])c4c([H])c([H])c([H])nc34)c2=O)C1=O,False,4.609388100000001
-7.49038,[H]OC([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])N([H])C(=O)C([H])=C([H])c2c([H])c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])[C@@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C1([H])[H],False,5.813423099999997
-7.48601,[H]c1nn([C@@]2([H])C([H])([H])[C@@]([H])([C@@]([H])(C3([H])C([H])([H])C3([H])[H])C([H])([H])[C@@]([H])(c3c(OC([H])([H])C([H])([H])C([H])([H])N4C([H])([H])C([H])([H])C([H])(F)C([H])([H])C4([H])[H])c([H])c([H])n([H])c3=O)C([H])([H])[H])C([H])([H])[C@@]2([H])c2c([H])c([H])c([H])c(C(F)(F)F)c2[H])c([H])c1[H],False,4.9985533
-7.48142,[H]C([H])=C([H])C(=O)N([H])[C@@]([H])(N1C([H])([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])C1([H])[H])[C@@]([H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])c1c([H])c([H])c([H])c(C(=O)N([H])[H])c1[H],False,6.058337799999996
-7.46886,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c(C(=NN([H])C(=S)N([H])[H])C([H])([H])[H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1-c1nn([H])c([H])c1[H],False,5.6135896
-7.46754,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[C@@](c2c([H])c(-c3c([H])c([H])c(F)c(F)c3[H])c([H])n([H])c2=O)(C2([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c2[H])C([H])([H])[H])c1[H],False,5.658847699999999
-7.46565,[H]c1c([H])c(N(C(=O)[C@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])[C@]([H])(C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])[C@@]([H])(c2c([H])c([H])c([H])n(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c2=O)C([H])([H])[H])N([H])[H])c([H])c([H])c1C(=O)C([H])([H])[H],False,3.9589209000000034
-7.46472,[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c([H])n(-c2c([H])c([H])c([H])c([H])c2F)c1=O)C([H])([H])c1c([H])c(C(=O)N([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],False,4.3752526000000005
-7.46319,[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c([H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c(C(=O)C([H])([H])C([H])([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c([H])c3c([H])c([H])c([H])nc23)c1[H],False,6.180029199999999
-7.46087,[H]c1nc([H])c(C([H])([H])N([H])N([H])S(=O)(=O)c2c([H])c([H])c(-c3c([H])c([H])c([H])n([H])c3=O)c(-c3sc4c([H])c([H])c([H])c([H])c4c3[H])c2C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c([H])c1[H],False,5.109509999999998
-7.44105,[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])[C@@]([H])(C(=O)c2oc([H])c([H])c2[H])C([H])([H])[H])c(S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])c1[H],False,5.199873499999998
-7.42673,[H]OC([H])([H])c1c([H])c([H])c(-c2c([H])c([H])n([H])c(=O)c2[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])C([H])([H])[C@]([H])(c2c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c2[H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],False,4.461041599999999
-7.42202,[H]c1c([H])c(C(=O)N([H])[H])c([H])c(C([H])([H])[C@]([H])(c2c(-c3c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3[H])c(-c3c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c3[H])c([H])n([H])c2=O)C([H])([H])C([H])([H])[H])c1[H],False,4.1927537
-7.41337,[H]c1nc([H])c([H])c(C([H])([H])[C@]([H])(C#Cc2c([H])c([H])c([H])c([H])c2[H])OC([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])N(O[C@]([H])(n2c([H])c([H])c([H])c2[H])C([H])([H])C([H])([H])C([H])([H])[H])C(=O)n2c([H])c([H])c([H])c([H])c2=O)n1,False,6.2275719999999986
-7.40816,[H]c1nc2c(C([H])([H])n3c(-c4c([H])c([H])n(N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C(F)(F)F)c(=O)c4-c4c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c4[H])nc([H])c3[H])c([H])c([H])c([H])c2c([H])c1[H],False,4.336252300000001
-7.40724,[H]OC(=O)C([H])([H])C([H])([H])[C@]([H])(c1c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])c(=O)n(-c2nc([H])c(F)c([H])c2[H])c1[H])C([H])([H])N1C(=O)c2c([H])c([H])c([H])c([H])c2C1=O,False,4.041281500000001
-7.40469,[H]c1nc2c([C@@]([H])(c3c([H])c([H])c([H])c([H])c3Cl)C([H])([H])[C@@]([H])(c3c([H])c(N4C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C4([H])[H])c([H])n(-c4c([H])nc([H])c(F)c4[H])c3=O)C([H])([H])[H])c([H])c([H])c([H])c2c([H])c1[H],False,5.5367580999999975
-7.39881,[H]c1nc(N([H])n2c([H])c(N(c3c([H])c([H])c([H])c(C#N)c3[H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([H])nc([H])c(F)c3[H])c2=O)sc1[H],False,6.222592499999999
-7.39369,[H]Sc1c(N2C(=O)C([H])=C([H])C2=O)c([H])n(-c2c([H])nc([H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c2-c2c([H])nc(C(F)(F)F)c([H])c2[H])c(=O)c1[H],False,4.326333299999999
-7.3932,[H]c1c([H])c([H])c([C@@]([H])(C([H])([H])[H])C(N([H])C(=O)c2c([H])c([C@](C([H])([H])[H])(C([H])(F)F)C([H])([H])C([H])([H])[H])c(=O)n(-c3c(OS(=O)(=O)N([H])[H])nn(C([H])([H])[H])c3[H])c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],False,4.311626499999999
-7.39229,[H]c1nc([H])c(C#C[C@@]([H])(Sc2c([H])c([C@@]([H])(C([H])([H])[H])[C@]([H])(C([H])([H])C(F)(F)F)C([H])([H])[C@@]([H])(c3c([H])sc4c([H])c([H])c([H])c([H])c34)N([H])c3c([H])c([H])c([H])c([H])c3[H])c(=O)n([H])c2[H])C([H])([H])[H])c([H])c1[H],False,5.158705999999999
-7.39027,[H]c1sc(C(=O)c2c(Cl)c([H])c([C@@]([H])(Sc3c([H])c([H])n([H])c(=O)c3[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c2[C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])[C@]2([H])C([H])([H])[C@@]2([H])N([H])[H])c([H])c1[H],False,3.4398246000000006
-7.39006,[H]c1nc(N([H])n2c([H])c(N(C([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([H])nc([H])c(F)c3[H])c2=O)sc1[H],False,5.689073
-7.38776,[H]Oc1c([H])c([H])c(C2(c3c([H])c(OC(F)(F)F)c([H])c([H])c3Sc3c([H])c([H])n([H])c(=O)c3-c3c([H])c([H])c([H])c(C([H])([H])N([H])[H])c3[H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],False,4.9564718999999995
-7.38456,[H]Oc1c([H])c([H])c(-n2c([H])c([H])c(SC(F)(F)F)c([C@@]([H])(C([H])([H])c3nc([H])c([H])n3C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])C#Cc3c([H])nc([H])c([H])c3[H])c2=O)c([H])c1[H],False,4.870493999999999
-7.38415,[H]c1nc(N([H])n2c([H])c(N([H])[C@]3([H])C([H])([H])[C@]([H])(C#Cc4c([H])c([H])c([H])c([H])c4[H])[C@]([H])(c4c([H])nn([H])c4[H])C3([H])[H])c([H])c([C@]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])N([H])C(=O)c3c([H])c([H])c([H])c([H])c3[H])c2=O)sc1[H],False,5.851826799999998
-7.38,[H]c1nc(C([H])([H])[H])n(C([H])([H])C([H])([H])[C@@]([H])(c2c(-c3c([H])c([H])c(OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c3N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])n([H])c2=O)C([H])([H])c2c([H])c([H])c([H])c(C(=O)N([H])[H])c2[H])c1[H],False,5.3177176
-7.37978,[H]C1=C([H])C(=O)N(n2c([H])c([H])c([H])c([C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])c3c([C@@]4([H])[C@]([H])(C([H])=C([H])[H])[C@@]4([H])N([H])[H])c([H])c([H])c4c([H])c([H])c(C([H])([H])c5c([H])c([H])c(Cl)c([H])c5[H])nc34)c2=O)C1=O,False,5.7226727
-7.37911,[H]c1nc2c(C([H])([H])C([H])([H])[C@@]([H])(c3c([H])c(N4C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@]4([H])c4c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c4[H])c([H])n(-c4c([H])nc([H])c(F)c4[H])c3=O)C([H])([H])[H])c([H])c([H])c([H])c2c([H])c1[H],False,5.5151192999999985
-7.37626,[H]c1nc([H])c(C([H])([H])n2c(-c3c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c3-c3c(N([H])[C@@]([H])(C([H])([H])C([H])([H])[H])[C@@]([H])(c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])[H])c([H])c([H])n([H])c3=O)nc([H])c2[H])c([H])c1F,False,4.825477000000001
-7.37592,[H]c1nc(N([H])[H])nc(C([H])([H])[C@]([H])(c2c(C(=O)N([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c([H])c([H])n([H])c2=O)C([H])([H])C([H])([H])c2c([C@@]3([H])C([H])([H])[C@@]3([H])N([H])[H])c([H])c([H])c3c([H])c([H])c([H])nc23)c1[H],False,4.9884969
